Question,Abstract,Answer
Photosynthesis definition,Process where plants convert light into energy through chlorophyll.,Energy conversion in plants
Author of "Romeo and Juliet",Famous play written by William Shakespeare.,William Shakespeare
Capital of France,The capital city of France is Paris.,Paris
Declaration of Independence date,"Document signed on July 4, 1776 declaring American independence.,July 4", 1776
World's largest ocean,The Pacific Ocean is the largest and deepest ocean on Earth.,Pacific Ocean
Inventor of the telephone,Alexander Graham Bell invented the first practical telephone.,Alexander Graham Bell
Natural satellite of Earth,The Moon is Earth's only natural satellite.,Moon
Element with symbol "H",Hydrogen is a chemical element with the symbol H.,Hydrogen
Novel "Pride and Prejudice" "author,Classic novel written by Jane Austen.",Jane Austen
Human body's powerhouse,Mitochondria are the powerhouse of the cell.,Mitochondria
Light's speed,"The speed of light in a vacuum is about 299,792 kilometers per second.","299,792 km/s"
Planet closest to the Sun,Mercury is the closest planet to the Sun in our solar system.,Mercury
Largest mammal on Earth,The blue whale is the largest mammal to have ever existed.,Blue whale
Element with symbol "O",Oxygen is a chemical element with the symbol O.,Oxygen
Unit of electrical resistance,The ohm is the SI unit of electrical resistance.,Ohm
The "Iliad" and the "Odyssey" attributed to,"Homer, ancient Greek epic poet.",Homer
Process converting sugar to energy,Glycolysis is the initial process of cellular respiration.,Glycolysis
Smallest prime number,The smallest prime number is 2.,2
Number of continents on Earth,There are 7 continents on Earth.,7
